(0,), 0.6681318681318681
(141, '0', '0'), 0.03431372549019608
(141, '0', '1'), 0.1111111111111111
(141, '1', '0'), 0.16666666666666666
(141, '1', '1'), 0.2
(142, '0', '0'), 0.07785888077858881
(142, '0', '1'), 0.13043478260869565
(142, '1', '0'), 0.15789473684210525
(142, '1', '1'), 0.0
(143, '0', '0'), 0.04773869346733668
(143, '0', '1'), 0.05263157894736842
(143, '1', '0'), 0.2571428571428571
(143, '1', '1'), 0.0
(144, '0', '0'), 0.08088235294117647
(144, '0', '1'), 0.05555555555555555
(144, '1', '0'), 0.03571428571428571
(144, '1', '1'), 0.0
(145, '0', '0'), 0.019559902200488997
(145, '0', '1'), 0.0
(145, '1', '0'), 0.06060606060606061
(145, '1', '1'), 0.0
(146, '0', '0'), 0.054373522458628844
(146, '0', '1'), 0.0
(146, '1', '0'), 0.2222222222222222
(146, '1', '1'), 0.0
(147, '0', '0'), 0.049132947976878616
(147, '0', '1'), 0.011904761904761904
(147, '1', '0'), 0.08333333333333333
(147, '1', '1'), 0.0
(148, '0', '0'), 0.044270833333333336
(148, '0', '1'), 0.09803921568627451
(148, '1', '0'), 0.25
(148, '1', '1'), 0.0
(149, '0', '0'), 0.017391304347826087
(149, '0', '1'), 0.011904761904761904
(149, '1', '0'), 0.21739130434782608
(149, '1', '1'), 0.6666666666666666
(15, '0'), 0.10275689223057644
(15, '1'), 0.23214285714285715
(150, '0', '0'), 0.08076009501187649
(150, '0', '1'), 0.05
(150, '1', '0'), 0.2727272727272727
(150, '1', '1'), 0.3333333333333333
(151, '0', '0'), 0.18248175182481752
(151, '0', '1'), 0.4
(151, '1', '0'), 0.05263157894736842
(151, '1', '1'), 0.0
(152, '0', '0'), 0.038781163434903045
(152, '0', '1'), 0.0
(152, '1', '0'), 0.02631578947368421
(152, '1', '1'), 0.3333333333333333
(153, '0', '0'), 0.02122641509433962
(153, '0', '1'), 0.0
(153, '1', '0'), 0.13333333333333333
(153, '1', '1'), 0.0
(154, '0', '0'), 0.04176334106728538
(154, '0', '1'), 0.07692307692307693
(154, '1', '0'), 0.2222222222222222
(154, '1', '1'), 0.0
(155, '0', '0'), 0.02364066193853428
(155, '0', '1'), 0.0
(155, '1', '0'), 0.1
(155, '1', '1'), 0.0
(156, '0', '0'), 0.05597964376590331
(156, '0', '1'), 0.32
(156, '1', '0'), 0.3
(156, '1', '1'), 0.0
(157, '0', '0'), 0.012315270935960592
(157, '0', '1'), 0.125
(157, '1', '0'), 0.07692307692307693
(157, '1', '1'), 0.0
(158, '0', '0'), 0.03953488372093023
(158, '0', '1'), 0.1875
